date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:49:29	159098/159098	---M--	200	added ('OK')	text/javascript	date:Thu,%2018%20Aug%202022%2005:53:05%20GMT	https://www.blogger.com/static/v1/widgets/2783068010-widgets.js	/home/mina/websites/newstyle/www.blogger.com/static/v1/widgets/2783068010-widgets.js	(from https://www.almusafir.work/)
00:49:29	178/178	---MCZ	200	added ('OK')	text/plain	date:Tue,%2016%20Aug%202022%2005:46:54%20GMT	https://www.blogger.com/robots.txt		(from https://www.almusafir.work/)
00:49:31	56/56	---M-Z	200	added ('OK')	text/plain	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/robots.txt		(from https://www.almusafir.work/)
00:49:31	73/73	---M-Z	200	added ('OK')	text/plain	date:Tue,%2022%20Oct%202019%2018:15:00%20GMT	http://www.google-analytics.com/robots.txt		(from https://www.almusafir.work/)
00:49:32	148/148	---M-Z	200	added ('OK')	text/plain	etag:7747647697524736347	http://googleads.g.doubleclick.net/robots.txt		(from https://www.almusafir.work/)
00:49:33	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Aug%202022%2022:49:33%20GMT	http://www.googletagservices.com/robots.txt		(from https://www.almusafir.work/)
00:49:34	148/148	---M-Z	200	added ('OK')	text/plain	etag:7747647697524736347	http://pagead2.googlesyndication.com/robots.txt		(from https://www.almusafir.work/)
00:49:36	343/343	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Aug%202022%2022:49:35%20GMT	http://maxcdn.bootstrapcdn.com/robots.txt		(from https://www.almusafir.work/)
00:49:36	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Aug%202022%2022:49:36%20GMT	http://adservice.google.ca/robots.txt		(from https://www.almusafir.work/)
00:49:37	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Aug%202022%2022:49:37%20GMT	http://adservice.google.com/robots.txt		(from https://www.almusafir.work/)
00:49:38	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Aug%202022%2022:49:38%20GMT	http://resources.blogblog.com/robots.txt		(from https://www.almusafir.work/)
00:49:40	51/51	---MCZ	200	added ('OK')	text/plain	date:Thu,%2018%20Aug%202022%2022:49:39%20GMT	http://fonts.googleapis.com/robots.txt		(from https://www.almusafir.work/)
00:49:40	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2018%20Aug%202022%2022:49:40%20GMT	http://1.bp.blogspot.com/robots.txt		(from https://www.almusafir.work/)
00:49:41	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2018%20Aug%202022%2022:49:41%20GMT	http://2.bp.blogspot.com/robots.txt		(from https://www.almusafir.work/)
00:49:42	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2018%20Aug%202022%2022:49:42%20GMT	http://3.bp.blogspot.com/robots.txt		(from https://www.almusafir.work/)
00:49:43	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2018%20Aug%202022%2022:49:43%20GMT	http://4.bp.blogspot.com/robots.txt		(from https://www.almusafir.work/)
00:49:44	49/49	---M--	200	added ('OK')	text/plain	etag:%2260395f01-31%22	http://disqus.com/robots.txt		(from https://www.almusafir.work/)
00:49:45	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://github.com/robots.txt		(from https://www.almusafir.work/)
00:49:46	11/11	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%22b-EFiDB1U+dmqzx9Mo2UjcZ1SJPO8%22	http://cdn.rawgit.com/robots.txt		(from https://www.almusafir.work/)
00:49:48	170/170	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Aug%202022%2022:49:47%20GMT	http://fontawesome.com/robots.txt		(from https://www.almusafir.work/)
00:49:48	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Aug%202022%2022:49:48%20GMT	http://www.sharethis.com/robots.txt		(from https://www.almusafir.work/)
00:49:49	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Aug%202022%2022:49:49%20GMT	http://cdn.jsdelivr.net/robots.txt		(from https://www.almusafir.work/)
00:49:51	1536/1536	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Aug%202022%2022:49:50%20GMT	https://blogger.googleusercontent.com/robots.txt		(from https://www.almusafir.work/)
00:49:53	1618/1618	UR-MCZ	200	added ('OK')	application/atom+xml	date:Mon,%2015%20Aug%202022%2021:02:47%20GMT	https://www.blogger.com/feeds/398794578096543018/posts/default	/home/mina/websites/newstyle/www.blogger.com/feeds/398794578096543018/posts/default	(from https://www.almusafir.work/)
00:49:53	1150/1150	UR-MCZ	200	added ('OK')	image/x-icon	date:Mon,%2015%20Aug%202022%2021:02:47%20GMT	https://www.almusafir.work/favicon.ico	/home/mina/websites/newstyle/www.almusafir.work/favicon.ico	(from https://www.almusafir.work/)
00:49:53	1601/1601	UR-MCZ	200	added ('OK')	application/atom+xml	date:Mon,%2015%20Aug%202022%2021:02:47%20GMT	https://www.almusafir.work/feeds/posts/default	/home/mina/websites/newstyle/www.almusafir.work/feeds/posts/default	(from https://www.almusafir.work/)
00:49:53	897/897	UR-MCZ	200	added ('OK')	application/rss+xml	date:Mon,%2015%20Aug%202022%2021:02:47%20GMT	https://www.almusafir.work/feeds/posts/default?alt=rss	/home/mina/websites/newstyle/www.almusafir.work/feeds/posts/default9522	(from https://www.almusafir.work/)
00:49:53	25620/25620	URF---	200	added ('OK%20(cached)')	image/png		https://4.bp.blogspot.com/-8bEbTaOgAkY/XbzCXRZh1qI/AAAAAAAAATc/Amhf597E2QkleZBde4oigJapzMAciwcuACLcBGAsYHQ/s1600/Course+template+ava.png	/home/mina/websites/newstyle/4.bp.blogspot.com/-8bEbTaOgAkY/XbzCXRZh1qI/AAAAAAAAATc/Amhf597E2QkleZBde4oigJapzMAciwcuACLcBGAsYHQ/s1600/Course%20template%20ava.png	(from https://www.almusafir.work/)
00:49:53	233/233	---M--	200	added ('OK')	image/png	date:Sun,%2014%20Aug%202022%2009:52:16%20GMT	https://www.blogger.com/img/widgets/stats-flipper.png	/home/mina/websites/newstyle/www.blogger.com/img/widgets/stats-flipper.png	(from https://www.blogger.com/static/v1/widgets/466517130-widget_css_bundle_rtl.css)
00:49:54	335/335	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Aug%202022%2004:52:38%20GMT	https://resources.blogblog.com/img/widgets/s_top.png	/home/mina/websites/newstyle/resources.blogblog.com/img/widgets/s_top.png	(from https://www.blogger.com/static/v1/widgets/466517130-widget_css_bundle_rtl.css)
00:49:54	3524/3524	URF---	200	added ('OK%20(cached)')	application/octet-stream		https://blogger.googleusercontent.com/img/a/AVvXsEhIE4vN7rFpcJ8H4JasD_q8AnZ-EDWHj7jwRzCwwsbLgbl8dW7cc8GQOrLMQaJDiu6X3ifU-Svl1YSKggJdZ4VvxGqqR74VlDANZF6B0-sLvp-pUKbvnTJsxpXfw_DJ5nckDl7U1KiiztSdjIRz2-0M68cbWzePjZCWkngmgl4t5QWi9QgyY3-gglPIqA=s170	/home/mina/websites/newstyle/blogger.googleusercontent.com/img/a/AVvXsEhIE4vN7rFpcJ8H4JasD_q8AnZ-EDWHj7jwRzCwwsbLgbl8dW7cc8GQOrLMQaJDiu6X3ifU-Svl1YSKggJdZ4VvxGqqR74VlDANZF6B0-sLvp-pUKbvnTJsxpXfw_DJ5nckDl7U1KiiztSdjIRz2-0M68cbWzePjZCWkng	(from https://www.almusafir.work/)
00:49:55	1620/1620	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Thu,%2018%20Aug%202022%2022:49:55%20GMT	https://apis.google.com/js/plusone.js	/home/mina/websites/newstyle/apis.google.com/js/plusone.js	(from https://www.almusafir.work/)
00:50:03	178/178	---MCZ	200	added ('OK')	text/plain	date:Tue,%2016%20Aug%202022%2005:46:54%20GMT	https://www.blogger.com/robots.txt		(from https://www.almusafir.work/)
00:50:04	56/56	---M-Z	200	added ('OK')	text/plain	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/robots.txt		(from https://www.almusafir.work/)
00:50:05	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://github.com/	/home/mina/websites/newstyle/github.com/index.html	(from https://www.almusafir.work/)
00:50:06	170/-1	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Aug%202022%2022:50:06%20GMT	http://fontawesome.com/	/home/mina/websites/newstyle/fontawesome.com/index.html	(from https://www.almusafir.work/)
00:50:07	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Aug%202022%2022:50:07%20GMT	http://www.sharethis.com/	/home/mina/websites/newstyle/www.sharethis.com/index.html	(from https://www.almusafir.work/)
00:50:08	0/-1	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Aug%202022%2022:50:08%20GMT	http://cdn.jsdelivr.net/	/home/mina/websites/newstyle/cdn.jsdelivr.net/index.html	(from https://www.almusafir.work/)
